ligne;course;dow;first_time;med_time;nb_courses;first_date;last_date;created_at
40;3948466;1;"07:30:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948466;2;"07:30:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948466;3;"07:30:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948466;4;"07:30:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948466;5;"07:30:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948467;1;"07:40:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948467;2;"07:40:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948467;3;"07:40:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948467;4;"07:40:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948467;5;"07:40:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948468;1;"07:50:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948468;2;"07:50:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948468;3;"07:50:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948468;4;"07:50:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948468;5;"07:50:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948469;1;"08:00:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948469;2;"08:00:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
